start,station,reachable,latitude,longitude
Illnau,"Girona
",False,,
Illnau,"Torelló
",False,,
Illnau,"Ribes de Freser
",False,,
Illnau,"Estación de tren La Molina
",False,,
Illnau,"Alp
",True,46.226073,6.082739
Illnau,"Bellver de Cerdanya
",False,,
Illnau,"Baqueira
",False,,
Illnau,"Terrassa
",False,,
Illnau,"Lleida
",False,,
Illnau,"Huesca
",False,,
Illnau,"Estacion Tren Pamplona/Iruña
",False,,
Illnau,"Donostia-San Sebastián
",False,,
Illnau,"Bilbao
",False,,
Illnau,"Vitoria-Gasteiz
",False,,
Illnau,"Turin
",True,46.203992,6.214096
Illnau,"Como
",True,45.808969,9.072713
Illnau,"Aosta Viale Europa
",False,,
Illnau,"Ivrea
",False,,
Illnau,"Vercelli
",False,,
Illnau,"Novara
",False,,
Illnau,"Varese
",True,45.816212,8.833288
Illnau,"Mailand
",False,,
Illnau,"Lecco
",False,,
Illnau,"Trient
",True,46.055384,6.996164
Illnau,"Bozen
",False,,
Illnau,"Meran
",False,,
Illnau,"Southampton
",True,,
Illnau,"Eastbourne
",True,,
Illnau,"Crawley
",True,,
Illnau,"London
",False,,
Illnau,"Exeter
",False,,
Illnau,"Plymouth
",False,,
Illnau,"Colchester
",False,,
Illnau,"Kortrijk
",False,,
Illnau,"Ypern
",False,,
Illnau,"Mons
",True,46.716361,9.7602
Illnau,"Charleroi
",False,,
Illnau,"Dinant
",False,,
Illnau,"Bouillon
",False,,
Illnau,"Arel
",False,,
Illnau,"Luxemburg
",False,,
Illnau,"Saarbrücken
",True,,
Illnau,"Karlsruhe
",True,48.993498,8.402133
Illnau,"Baden-Baden
",True,48.789965,8.18954
Illnau,"Offenburg
",True,48.476468,7.946728
Illnau,"Freiburg im Breisgau
",True,,
Illnau,"Singen
",True,47.758438,8.840382
Illnau,"Friedrichshafen
",True,47.653227,9.473892
Illnau,"Lörrach
",True,47.601416,7.659047
Illnau,"Schopfheim
",True,47.647973,7.822685
